function,version,status,error_count,reported_errors,failure_count,error_categories
defender.c:Defender_GetTopic,1,FAILED,1,1,0,generic_error
defender.c:Defender_GetTopic,2,FAILED,1,1,0,generic_error
defender.c:Defender_GetTopic,3,FAILED,1,1,0,generic_error
defender.c:Defender_GetTopic,4,FAILED,1,1,0,generic_error
defender.c:Defender_GetTopic,5,FAILED,1,1,0,generic_error
defender.c:Defender_GetTopic,6,FAILED,1,1,0,generic_error
defender.c:Defender_GetTopic,7,FAILED,1,1,0,generic_error
defender.c:Defender_GetTopic,8,FAILED,1,1,0,generic_error
defender.c:Defender_GetTopic,9,FAILED,1,1,0,generic_error
defender.c:Defender_GetTopic,10,FAILED,1,1,0,generic_error
defender.c:Defender_GetTopic,11,FAILED,1,1,0,generic_error
defender.c:Defender_MatchTopic,1,FAILED,1,1,0,generic_error
defender.c:Defender_MatchTopic,2,FAILED,1,1,0,generic_error
defender.c:Defender_MatchTopic,3,FAILED,1,1,0,generic_error
defender.c:Defender_MatchTopic,4,FAILED,2,2,0,generic_error
defender.c:Defender_MatchTopic,5,FAILED,1,1,0,generic_error
defender.c:Defender_MatchTopic,6,FAILED,1,1,0,generic_error
defender.c:Defender_MatchTopic,7,FAILED,1,1,0,generic_error
defender.c:Defender_MatchTopic,8,FAILED,1,1,0,generic_error
