function,version,total_reachable_lines,total_covered_lines,total_coverage_pct,func_reachable_lines,func_covered_lines,func_coverage_pct,reported_errors,error_categories
core_json.c:JSON_Iterate,1,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_Iterate,2,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_Iterate,3,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_Iterate,4,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_Iterate,5,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_Iterate,6,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_Iterate,7,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_Iterate,8,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_Iterate,9,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_SearchConst,1,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_SearchConst,2,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_SearchConst,3,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_SearchConst,4,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_SearchConst,5,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_SearchConst,6,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_SearchConst,7,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_SearchConst,8,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_SearchConst,9,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_SearchT,1,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_SearchT,2,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_SearchT,3,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_SearchT,4,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_SearchT,5,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_SearchT,6,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_SearchT,7,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_SearchT,8,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_SearchT,9,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_Validate,1,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_Validate,2,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_Validate,3,1,0,0.0,1,0,0.0,0,[]
core_json.c:JSON_Validate,4,1,0,0.0,1,0,0.0,0,[]
